roadSegment_id,roadSegment_type,lane_id,lane_roadid,lane_num,lane_length,lane_dir,lane_type,point_id,point_lane_id,point_left_lane_id,point_right_lane_id,point_cost,
1,0,6439,8,0,0,4.16865,0,6541,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6543,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6544,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6545,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6546,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6548,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6549,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6551,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6552,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6554,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6555,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6557,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6559,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6560,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6562,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6563,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6565,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6566,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6567,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6568,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6569,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6571,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6573,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6575,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6576,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6577,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6579,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6580,6439,2685,9238,0,
